Place,Dedication,TowerID,Date,Peal,QuarterPeal,Practice,ServiceRinging,RingingTrip,Notes,,,,,,,,,,,,,,
Rothwell,Holy Trinity,16897,01/09/2011,Y,Y,Y,Y,Y,"Home tower. Calming, old fashioned sounding and generally good",,,,,,,,,,,,,,
Rushton,All Saints,10991,01/08/2013,,,,Y,,"Plain bearings, my first 'grab'",,,,,,,,,,,,,,
Barton Seagrave,St Botolph,14518,01/10/2014,,Y,Y,,Y,"Anticlockwise, used to visit for sporadic practices",,,,,,,,,,,,,,
Kettering,St Peter and Paul,15324,01/08/2015,,,Y,Y,Y,Good church but meh bells. I always enjoyed practices here though.,,,,,,,,,,,,,,
Durham,St Oswald,12379,14/10/2016,Y,Y,Y,Y,,"Ossies, innit",,,,,,,,,,,,,,
Durham,St Cuthbert (Cathedral),16115,20/10/2016,Y,Y,Y,Y,Y,Good tick. Horrible bells inside but exceptionally good outside.,,,,,,,,,,,,,,
Brancepeth,St Brandon,14288,02/11/2016,Y,Y,Y,Y,,My new 'home tower' for longer than anywhere else.,,,,,,,,,,,,,,
Tanfield,St Margaret,12737,05/11/2016,Y,Y,,,Y,First run here as a bad 6 on the first DUSCR tour I was on. Have since been upgraded and Crowtherified.,,,,,,,,,,,,,,
Consett,Christ Church,14176,05/11/2016,,Y,Y,,Y,"Terrible, terrible bells.",,,,,,,,,,,,,,
Lanchester,All Saints,13260,05/11/2016,,,Y,,Y,Very nice bells. Have visited on a trip or two and also a random practice with MHA.,,,,,,,,,,,,,,
Benfieldside,St Cuthbert,11657,05/11/2016,,,,,Y,Tiny ringing chamber.,,,,,,,,,,,,,,
Durham,St Nicholas,10063,04/12/2016,,Y,Y,Y,,"Nics, innit.",,,,,,,,,,,,,,
Saffron Walden,St Mary the Virgin,12985,27/08/2017,,,,Y,,Visited on a Sunday morning after a party at James' house.,,,,,,,,,,,,,,
Staindrop,St Mary,11192,21/10/2017,Y,,,,Y,Church feels like a castle. Very very cold.,,,,,,,,,,,,,,
Shildon,St John,16101,21/10/2017,,,,,Y,Don't like these bells. Once range the tenor kneeling down.,,,,,,,,,,,,,,
Heighington,St Michael,10649,21/10/2017,,,,,Y,"Only GF ring in the D&N. Good old bells, and broke a clock hammer here once.",,,,,,,,,,,,,,
Barnard Castle,St Mary V,13427,21/10/2017,,,,,Y,,,,,,Ringing Trip List:,,,,,,,,,
Richmond,St Mary,12274,21/10/2017,,,,,Y,Smells of IKEA. Like them.,,,,,Name,Location,Date,,,,,,,f
Bishop Auckland,St Andrew,16356,21/10/2017,,,,,Y,,,,,,DUSCR Secretary's Tour 2016,Consett,05/11/2016,,,,,,,
Shincliffe,St Mary the Virgin,16794,24/10/2017,Y,Y,Y,Y,,"Shincliffe, innit. Sound a bit like fireworks.",,,,,Shincliffe Trip 2017,South County Durham,21/10/2017,,,,,,,
Hexham,St Andrew (Abbey),16213,27/11/2017,,,Y,,Y,"I really like these, cool tower access. Range my first London Major here, and fell asleep on DUSCR tour.",,,,,DUSCR Dinner Day Tour 2017,Darlington,02/12/2017,,,,,,,
Hurworth,All Saints,16103,02/12/2017,,,,,Y,,,,,,NUA 2018,York,16-18/11/18,,,,,,,
Darlington,St Cuthbert,15226,02/12/2017,,,,,Y,"Cool tower access, inside the roof",,,,,DUSCR Dinner Day Tour 2018,Hartlepool,01/12/2018,,,,,,,
Roker,St Andrew,11440,20/01/2018,Y,Y,,,Y,Keep ending up back here. Concrete towe with a good view. Deafening but otherwise great.,,,,,DUSCR Treasurer's Tour 2019,Stockton,09/03/2019,,,,,,,
Newcastle upon Tyne,St Nicholas (Cathedral),10887,23/01/2018,,Y,Y,,Y,My first practices on 12. they are missed terribly.,,,,,DUSCR Summer Tour 2019,West London,14-17/6/19,,,,,,,
South Shields,St Hilda,12219,24/02/2018,Y,,,,Y,Completely inaudible.,,,,,Tideswell Trip 2019,Nottinghamshire,10/08/2019,,,,,,,
North Shields,Christ Church,13340,24/02/2018,,Y,,,Y,"Old-fashioned feeling bells. The 9 has two notes, and I like them far more than most.",,,,,Shincliffe Trip 2019,Northumberland,21/10/2019,,,,,,,
Heworth,St Mary,12244,24/02/2018,,,,,Y,"Visited on my Treasurer's tour. Horrible, and the tenor is far too loud.",,,,,NUA 2019,Birmingham,9-11/11/19,,,,,,,
Whitley Bay,St Paul,17001,24/02/2018,,,,,Y,"Quite nice, but the clock case rather gets in the way.",,,,,DUSCR Treasurer's Tour 2020,Darlington,29/02/2020,,,,,,,
Houghton le Spring,St Michael,15992,18/03/2018,,Y,,Y,,Very cold and a bit manky. Unremarkable bells.,,,,,ULSCR Summer Tour 2021,Northamptonshire,14-16/8/21,,,,,,,
Sunderland,St Michael (Minster),15838,11/04/2018,,Y,,,,Stretchy ropes. Interesting building though.,,,,,DUSCR Dinner Day Tour 2021,Newcastle,04/12/2021,,,,,,,
Thorner,St Peter,12249,08/06/2018,,,,,Y,,,,,,YCRG Birmingham Trip ,Birmingham,15/01/2022,,,,,,,
Swillington,St Mary,15572,08/06/2018,,,,,Y,,,,,,DUSCR Treasurer's Tour 2022,York,26/02/2022,,,,,,,
Barwick in Elmet,All Saints,12285,08/06/2018,,,,,Y,,,,,,DUSCR Summer Tour 2022,West Yorkshire/Lancashire,17-20/6/22,,,,,,,
Bramham,All Saints,10423,08/06/2018,,,,,Y,,,,,,Ramblers Leftover Tour 2022,North Yorkshire Coast,08/08/2022,,,,,,,
Kirk Deighton,All Saints,11110,08/06/2018,,,,,Y,,,,,,DUSCR Secretary's Tour 2022,South County Durham,22/10/2022,,,,,,,
Leeds,St Peter (Minster),13165,09/06/2018,Y,,Y,Y,Y,"My first >40cwt bell. Difficult, but worth the effort.",,,,,NUA 2022,Manchester,18-20/11/22,,,,,,,
Leeds,St Anne (Cathedral),11425,09/06/2018,Y,Y,Y,Y,Y,Been here many many times. Smells of wee due to pre-peal activities.,,,,,DUSCR Dinner Day Tour 2022,Darlington,03/12/2022,,,,,,,
Far Headingley,St Chad,11181,09/06/2018,Y,Y,Y,,Y,Nice big heavy 8 with pleasant surroundings.,,,,,DUSCR Summer Tour 2023,Northamptonshire,16-18/6/23,,,,,,,
Upper Armley,Christ Church,11983,09/06/2018,,,,,Y,I was crucified outside this one.,,,,,,,,,,,,,,
Burley,St Matthias,14977,09/06/2018,,Y,Y,Y,Y,LUSCR home tower. Visited many times as a result of AEB.,,,,,DUSCR Dinner Day Tour 2023,Sunderland,02/12/2023,,,,,,,
Headingley,St Michael and All Angels,16033,09/06/2018,,,Y,,Y,Difficult bells but quite an impressive church.,,,,,Tideswell Winter Trip 2024,North Yorkshire,06/01/2024,,,,,,,
Birstall,St Peter,13433,10/06/2018,Y,,,,Y,Visited on Rachael's tour but also for a very difficult peal with Barrie,,,,,DUSCR Summer Tour 2024,Lake District,6-11/6/24,,,,,,,
